,SCHOOL_YEAR,DIV_NAME,SCH_NAME,FEDERAL_RACE_CODE,GENDER,DISABILITY_FLAG,LEP_FLAG,DISADVANTAGED_FLAG,COHORT_CNT,DIPLOMA_RATE,DROPOUT_RATE
1244,2018-2019,Amelia County,Amelia County High,5.0,F,N,N,Y,12,100.0,0.0
1249,2018-2019,Amelia County,Amelia County High,3.0,M,N,N,Y,13,100.0,0.0
1251,2018-2019,Amelia County,Amelia County High,5.0,M,N,N,Y,7,100.0,0.0
1258,2018-2019,Amelia County,Amelia County High,5.0,F,Y,N,Y,3,100.0,0.0
1263,2018-2019,Amelia County,Amelia County High,3.0,M,Y,N,Y,1,100.0,0.0
1265,2018-2019,Amelia County,Amelia County High,5.0,M,Y,N,Y,3,100.0,0.0
1186,2018-2019,Amherst County,Amherst County High,3.0,F,N,N,N,11,100.0,0.0
1188,2018-2019,Amherst County,Amherst County High,5.0,F,N,N,N,42,97.61904761904762,0.0
1193,2018-2019,Amherst County,Amherst County High,3.0,M,N,N,N,12,100.0,0.0
1195,2018-2019,Amherst County,Amherst County High,5.0,M,N,N,N,55,94.54545454545455,3.6363636363636362
1200,2018-2019,Amherst County,Amherst County High,3.0,F,Y,N,N,1,100.0,0.0
1202,2018-2019,Amherst County,Amherst County High,5.0,F,Y,N,N,3,100.0,0.0
1207,2018-2019,Amherst County,Amherst County High,3.0,M,Y,N,N,2,50.0,50.0
1209,2018-2019,Amherst County,Amherst County High,5.0,M,Y,N,N,3,100.0,0.0
1242,2018-2019,Amherst County,Amherst County High,3.0,F,N,N,Y,12,75.0,8.333333333333334
1244,2018-2019,Amherst County,Amherst County High,5.0,F,N,N,Y,34,88.23529411764706,2.9411764705882355
1249,2018-2019,Amherst County,Amherst County High,3.0,M,N,N,Y,20,75.0,15.0
1251,2018-2019,Amherst County,Amherst County High,5.0,M,N,N,Y,37,72.97297297297297,13.513513513513514
1256,2018-2019,Amherst County,Amherst County High,3.0,F,Y,N,Y,1,0.0,100.0
1258,2018-2019,Amherst County,Amherst County High,5.0,F,Y,N,Y,3,100.0,0.0
1263,2018-2019,Amherst County,Amherst County High,3.0,M,Y,N,Y,6,83.33333333333333,0.0
1265,2018-2019,Amherst County,Amherst County High,5.0,M,Y,N,Y,6,83.33333333333333,16.666666666666668
1186,2018-2019,Appomattox County,Appomattox County High,3.0,F,N,N,N,5,100.0,0.0
1188,2018-2019,Appomattox County,Appomattox County High,5.0,F,N,N,N,34,97.05882352941177,0.0
1193,2018-2019,Appomattox County,Appomattox County High,3.0,M,N,N,N,6,83.33333333333333,16.666666666666668
1195,2018-2019,Appomattox County,Appomattox County High,5.0,M,N,N,N,52,100.0,0.0
1202,2018-2019,Appomattox County,Appomattox County High,5.0,F,Y,N,N,2,100.0,0.0
1207,2018-2019,Appomattox County,Appomattox County High,3.0,M,Y,N,N,1,100.0,0.0
1209,2018-2019,Appomattox County,Appomattox County High,5.0,M,Y,N,N,4,100.0,0.0
1242,2018-2019,Appomattox County,Appomattox County High,3.0,F,N,N,Y,12,100.0,0.0
1244,2018-2019,Appomattox County,Appomattox County High,5.0,F,N,N,Y,19,84.21052631578948,5.2631578947368425
1249,2018-2019,Appomattox County,Appomattox County High,3.0,M,N,N,Y,11,100.0,0.0
1251,2018-2019,Appomattox County,Appomattox County High,5.0,M,N,N,Y,16,81.25,12.5
1256,2018-2019,Appomattox County,Appomattox County High,3.0,F,Y,N,Y,2,100.0,0.0
1258,2018-2019,Appomattox County,Appomattox County High,5.0,F,Y,N,Y,4,75.0,25.0
1263,2018-2019,Appomattox County,Appomattox County High,3.0,M,Y,N,Y,2,100.0,0.0
1265,2018-2019,Appomattox County,Appomattox County High,5.0,M,Y,N,Y,5,80.0,20.0
2797,2018-2019,Arlington County,Wakefield High,2.0,F,N,N,N,14,100.0,0.0
2798,2018-2019,Arlington County,Washington-Lee High,2.0,F,N,N,N,13,100.0,0.0
2801,2018-2019,Arlington County,Wakefield High,3.0,F,N,N,N,13,100.0,0.0
2802,2018-2019,Arlington County,Washington-Lee High,3.0,F,N,N,N,8,87.5,12.5
